ID,PARCELA,x,y,TIPO
0,1,672965,2834781,B
1,2,673025,2834775,B
2,3,673013,2834822,B
3,4,673134,2834626,B
4,5,673175,2834630,B
5,6,673172,2834672,B
6,7,673085,2834793,B
7,8,673064,2834854,B
8,9,673088,2834871,B
9,10,673197,2834693,B
10,11,673187,2834742,B
11,12,673278,2834698,B
12,13,673296,2835091,B
13,14,673317,2835117,B
14,15,673331,2835141,B
15,16,673427,2834959,B
16,17,673473,2834965,B
17,18,673503,2834984,B
18,19,673122,2834867,B
19,20,673168,2834855,B
20,1,672964,2834784,A
21,2,672978,2834807,A
22,3,673004,2834826,A
23,4,673131,2834626,A
24,5,673147,2834651,A
25,6,673186,2834660,A
26,7,673033,2834848,A
27,8,673049,2834873,A
28,9,673061,2834895,A
29,10,673204,2834684,A
30,11,673218,2834709,A
31,12,673228,2834742,A
32,13,673292,2835096,A
33,14,673313,2835114,A
34,15,673330,2835139,A
35,16,673447,2834946,A
36,17,673458,2834976,A
37,18,673486,2834989,A
38,19,673163,2834967,A
39,19,673154,2834847,A
40,20,673169,2834855,A
